image_path,scanner_label,split
data/processed/standardized_dataset/Left/1-4.png,0,train
data/processed/standardized_dataset/Left/1-5.png,0,test
data/processed/standardized_dataset/Left/10-2.png,0,test
data/processed/standardized_dataset/Left/10-3.png,0,train
data/processed/standardized_dataset/Left/10-5.png,0,train
data/processed/standardized_dataset/Left/11-1.png,0,train
data/processed/standardized_dataset/Left/12-2.png,0,train
data/processed/standardized_dataset/Left/12-3.png,0,train
data/processed/standardized_dataset/Left/12-4.png,0,train
data/processed/standardized_dataset/Left/14-2.png,0,train
data/processed/standardized_dataset/Left/14-4.png,0,train
data/processed/standardized_dataset/Left/14-5.png,0,train
data/processed/standardized_dataset/Left/15-1.png,0,train
data/processed/standardized_dataset/Left/16-3.png,0,train
data/processed/standardized_dataset/Left/16-4.png,0,test
data/processed/standardized_dataset/Left/16-5.png,0,train
data/processed/standardized_dataset/Left/17-1.png,0,train
data/processed/standardized_dataset/Left/18-2.png,0,train
data/processed/standardized_dataset/Left/18-4.png,0,train
data/processed/standardized_dataset/Left/18-5.png,0,train
data/processed/standardized_dataset/Left/19-1.png,0,test
data/processed/standardized_dataset/Left/2-1.png,0,test
data/processed/standardized_dataset/Left/20-3.png,0,train
data/processed/standardized_dataset/Left/20-4.png,0,test
data/processed/standardized_dataset/Left/20-5.png,0,train
data/processed/standardized_dataset/Left/21-1.png,0,train
data/processed/standardized_dataset/Left/22-2.png,0,train
data/processed/standardized_dataset/Left/22-4.png,0,train
data/processed/standardized_dataset/Left/22-5.png,0,train
data/processed/standardized_dataset/Left/23-1.png,0,test
data/processed/standardized_dataset/Left/24-2.png,0,train
data/processed/standardized_dataset/Left/24-3.png,0,train
data/processed/standardized_dataset/Left/24-4.png,0,train
data/processed/standardized_dataset/Left/26-2.png,0,train
data/processed/standardized_dataset/Left/26-3.png,0,train
data/processed/standardized_dataset/Left/26-5.png,0,train
data/processed/standardized_dataset/Left/27-1.png,0,train
data/processed/standardized_dataset/Left/28-2.png,0,test
data/processed/standardized_dataset/Left/28-3.png,0,train
data/processed/standardized_dataset/Left/28-4.png,0,train
data/processed/standardized_dataset/Left/3-3.png,0,train
data/processed/standardized_dataset/Left/3-4.png,0,train
data/processed/standardized_dataset/Left/3-5.png,0,train
data/processed/standardized_dataset/Left/30-2.png,0,train
data/processed/standardized_dataset/Left/30-4.png,0,train
data/processed/standardized_dataset/Left/30-5.png,0,train
data/processed/standardized_dataset/Left/31-1.png,0,train
data/processed/standardized_dataset/Left/32-3.png,0,train
data/processed/standardized_dataset/Left/32-4.png,0,train
data/processed/standardized_dataset/Left/32-5.png,0,train
data/processed/standardized_dataset/Left/4-1.png,0,train
data/processed/standardized_dataset/Left/5-2.png,0,test
data/processed/standardized_dataset/Left/5-3.png,0,test
data/processed/standardized_dataset/Left/7-2.png,0,train
data/processed/standardized_dataset/Left/7-3.png,0,train
data/processed/standardized_dataset/Left/7-4.png,0,train
data/processed/standardized_dataset/Left/8-1.png,0,train
